row,moving,status,time
9765,brats2023/data/brats-men/ASNR-MICCAI-BraTS2023-Meningioma-Challenge-TrainingData/BraTS-MEN-00223-000/BraTS-MEN-00223-000-t1c.nii.gz,success,2025-10-14 16:23:15
9766,brats2023/data/brats-men/ASNR-MICCAI-BraTS2023-Meningioma-Challenge-TrainingData/BraTS-MEN-00223-000/BraTS-MEN-00223-000-t2w.nii.gz,success,2025-10-14 16:23:18
9767,brats2023/data/brats-men/ASNR-MICCAI-BraTS2023-Meningioma-Challenge-TrainingData/BraTS-MEN-00223-000/BraTS-MEN-00223-000-seg.nii.gz,success,2025-10-14 16:23:22
9768,brats2023/data/brats-men/ASNR-MICCAI-BraTS2023-Meningioma-Challenge-TrainingData/BraTS-MEN-00202-000/BraTS-MEN-00202-000-t2f.nii.gz,success,2025-10-14 16:23:24
9769,brats2023/data/brats-men/ASNR-MICCAI-BraTS2023-Meningioma-Challenge-TrainingData/BraTS-MEN-00202-000/BraTS-MEN-00202-000-t1c.nii.gz,success,2025-10-14 16:23:27
9770,brats2023/data/brats-men/ASNR-MICCAI-BraTS2023-Meningioma-Challenge-TrainingData/BraTS-MEN-00202-000/BraTS-MEN-00202-000-t2w.nii.gz,success,2025-10-14 16:23:31
9771,brats2023/data/brats-men/ASNR-MICCAI-BraTS2023-Meningioma-Challenge-TrainingData/BraTS-MEN-00202-000/BraTS-MEN-00202-000-seg.nii.gz,success,2025-10-14 16:23:34
9772,brats2023/data/brats-men/ASNR-MICCAI-BraTS2023-Meningioma-Challenge-TrainingData/BraTS-MEN-00852-000/BraTS-MEN-00852-000-t2f.nii.gz,success,2025-10-14 16:23:36
9773,brats2023/data/brats-men/ASNR-MICCAI-BraTS2023-Meningioma-Challenge-TrainingData/BraTS-MEN-00852-000/BraTS-MEN-00852-000-t1c.nii.gz,success,2025-10-14 16:23:40
9774,brats2023/data/brats-men/ASNR-MICCAI-BraTS2023-Meningioma-Challenge-TrainingData/BraTS-MEN-00852-000/BraTS-MEN-00852-000-t2w.nii.gz,success,2025-10-14 16:23:43
9775,brats2023/data/brats-men/ASNR-MICCAI-BraTS2023-Meningioma-Challenge-TrainingData/BraTS-MEN-00852-000/BraTS-MEN-00852-000-seg.nii.gz,success,2025-10-14 16:23:46
9776,brats2023/data/brats-men/ASNR-MICCAI-BraTS2023-Meningioma-Challenge-TrainingData/BraTS-MEN-01007-000/BraTS-MEN-01007-000-t2f.nii.gz,success,2025-10-14 16:23:48
9777,brats2023/data/brats-men/ASNR-MICCAI-BraTS2023-Meningioma-Challenge-TrainingData/BraTS-MEN-01007-000/BraTS-MEN-01007-000-t1c.nii.gz,success,2025-10-14 16:23:52
9778,brats2023/data/brats-men/ASNR-MICCAI-BraTS2023-Meningioma-Challenge-TrainingData/BraTS-MEN-01007-000/BraTS-MEN-01007-000-t2w.nii.gz,success,2025-10-14 16:23:55
9779,brats2023/data/brats-men/ASNR-MICCAI-BraTS2023-Meningioma-Challenge-TrainingData/BraTS-MEN-01007-000/BraTS-MEN-01007-000-seg.nii.gz,success,2025-10-14 16:23:58
9780,brats2023/data/brats-men/ASNR-MICCAI-BraTS2023-Meningioma-Challenge-TrainingData/BraTS-MEN-01164-000/BraTS-MEN-01164-000-t2f.nii.gz,success,2025-10-14 16:24:01
9781,brats2023/data/brats-men/ASNR-MICCAI-BraTS2023-Meningioma-Challenge-TrainingData/BraTS-MEN-01164-000/BraTS-MEN-01164-000-t1c.nii.gz,success,2025-10-14 16:24:04
9782,brats2023/data/brats-men/ASNR-MICCAI-BraTS2023-Meningioma-Challenge-TrainingData/BraTS-MEN-01164-000/BraTS-MEN-01164-000-t2w.nii.gz,success,2025-10-14 16:24:07
9783,brats2023/data/brats-men/ASNR-MICCAI-BraTS2023-Meningioma-Challenge-TrainingData/BraTS-MEN-01164-000/BraTS-MEN-01164-000-seg.nii.gz,success,2025-10-14 16:24:10
9784,brats2023/data/brats-men/ASNR-MICCAI-BraTS2023-Meningioma-Challenge-TrainingData/BraTS-MEN-00744-000/BraTS-MEN-00744-000-t2f.nii.gz,success,2025-10-14 16:24:13
9785,brats2023/data/brats-men/ASNR-MICCAI-BraTS2023-Meningioma-Challenge-TrainingData/BraTS-MEN-00744-000/BraTS-MEN-00744-000-t1c.nii.gz,success,2025-10-14 16:24:16
9786,brats2023/data/brats-men/ASNR-MICCAI-BraTS2023-Meningioma-Challenge-TrainingData/BraTS-MEN-00744-000/BraTS-MEN-00744-000-t2w.nii.gz,success,2025-10-14 16:24:19
9787,brats2023/data/brats-men/ASNR-MICCAI-BraTS2023-Meningioma-Challenge-TrainingData/BraTS-MEN-00744-000/BraTS-MEN-00744-000-seg.nii.gz,success,2025-10-14 16:24:22
